a,b,c,d,e,f
-1.73460995356796,54.647397856081106,7.02514765310986,96.7,5.9,2606.0
-1.8157731807809099,54.837302747627405,6.91622529631346,80.5,5.7,2728.0
-1.69943507523604,54.4385496785905,7.0787724185454,94.9,6.1,2611.0
-1.75855911767124,54.534573692666704,7.08957643235765,87.0,6.0,2468.0
-1.7810729268719199,54.6708034386734,6.95039645142333,86.8,5.8,2426.0
-1.6932432233281498,54.5348704263729,7.038190898897881,88.0,6.0,2526.0
-1.6608587093569898,54.5591531255652,6.96330720535833,89.9,5.9,2660.0
-1.6126614618671,54.2844030736075,7.00075365650603,96.6,6.2,2634.0
-1.68416048321291,54.561462342870904,6.97273802536762,88.5,5.9,2553.0
-1.43898366478992,54.2124882743791,7.0075598689765,96.9,6.3,2621.0
-1.65401257043439,54.6386335115644,6.88886344741133,88.6,5.9,2584.0
-1.75378553924945,54.8130966363034,6.93231835416074,88.9,5.7,2544.0
-1.50594274893859,54.5960969481567,7.078538489131041,95.0,5.9,2586.0
-1.48396181331485,54.457134867473094,7.10642999446499,94.6,6.0,2592.0
-1.39922448910384,54.502169186968004,7.083971251554099,95.1,6.0,2549.0
-1.78719086690757,54.393583423457606,6.8600034477875695,88.2,6.1,2560.0
-1.4867269087236699,54.0753380681493,7.02439151683239,94.2,6.4,2500.0
-1.65292865386748,54.5164690978068,6.98936556584546,88.8,6.0,2599.0
-1.64582532022196,54.4034589403415,6.998094692153,88.8,6.1,2539.0
-1.4862290224960601,54.544388869799796,7.10502863029034,95.4,6.0,2685.0
-1.4017934946266202,54.4732650058908,7.057623386546121,95.6,6.0,2570.0
-1.74709409906106,54.564612533605,6.897936226538481,81.2,5.9,2939.0
-1.6943854865636998,54.185545395573705,6.99377222979958,94.8,6.3,2634.0
-1.52954041026443,54.3823283070659,7.03114056939882,95.2,6.1,2590.0
-1.6083789246273101,54.948436192063205,7.04555590828781,94.7,5.6,2615.0
-1.82620644134004,54.1032002313143,6.8634312366230095,86.1,6.4,1794.0
-1.46300897388043,54.1218160989975,7.0721259257808695,94.5,6.4,2707.0
-1.54056798910554,54.2988645458782,7.04516918014626,94.0,6.2,2743.0
-1.4962847922476,54.736277929135504,7.13681597542609,94.2,5.8,2542.0
-1.65999442899342,54.0989304508175,7.1063220311962105,93.8,6.4,2703.0
-1.6628836509612301,54.20325717312671,7.04854544387677,93.3,6.3,2624.0
-1.6357977590695802,55.4123470369516,6.92167659326008,78.1,5.1,2733.0
-1.5132515152899098,54.4328450854535,7.0867995502669,93.5,6.1,2576.0
-1.65117446111922,54.447465911661794,7.0015061125448605,94.5,6.1,2644.0
-1.7256600375860802,54.46448855136371,6.98384753394771,88.3,6.0,2635.0
-1.41237263292212,54.715543476400796,7.144807204296661,93.5,5.8,2623.0
-1.55211804861469,54.7206043139759,7.13914110957309,93.3,5.8,2660.0
-1.64307571255007,54.6568936036461,7.16531672424371,93.9,5.8,2618.0
-1.89415417450831,54.344513400654,6.998399327158901,86.6,6.2,2012.0
-1.40044878560796,54.491686164777796,7.08861157653417,96.3,6.0,2585.0
-1.3694790433243502,54.47903069109861,6.9976699510760705,96.3,6.0,2654.0
-1.6898304340650299,54.723739285037404,6.99117870554084,86.9,5.8,2377.0
-1.6054451197689399,54.345224956760596,7.024613628938219,88.0,6.2,2726.0
-1.6365318280445,54.3641209399041,6.9843325558916405,95.0,6.1,2643.0
-1.5291409772620201,54.381328732052296,7.11114333638502,93.7,6.1,2651.0
-1.63126398659476,54.363165960359495,7.111046331306231,93.7,6.1,2616.0
-1.87733722342285,54.882765685608206,7.072268203756879,85.7,5.6,2530.0
-1.5314512230606698,54.2649010651669,6.976764375492361,97.5,6.2,2620.0
-1.47317545110283,54.5157862836081,7.09640722359359,88.1,6.0,2654.0
-1.6071552490482,54.6269534986076,7.083138900008401,88.8,5.9,2592.0
-1.53820962398725,54.521633868721,7.08059363344565,88.5,6.0,2642.0
-1.6533904554819099,54.5197658332166,7.0881863642360905,87.6,6.0,2551.0
-1.7326181211739902,54.5367906237189,7.07226905451861,88.0,6.0,2710.0
-1.5664728719080299,54.5436835300217,7.07831592172283,95.0,6.0,2611.0
-1.8790088557244,54.6451502570045,7.044970233018679,79.0,5.9,2808.0
-1.42638333133244,54.221873514055204,7.09169415107193,93.9,6.3,2616.0
-1.60102000541567,54.3700578909454,7.02538563771,95.0,6.1,2535.0
-1.75018616819967,54.735256855572395,7.01062549643193,86.6,5.8,2530.0
-1.68930889151541,55.1197695110913,7.035431440244559,77.6,5.4,2758.0
-1.81005370432251,54.902159731440804,6.97738179718603,79.1,5.6,2892.0
-1.61539292493782,54.4818831611395,7.09579968235596,95.3,6.0,2747.0
-1.71273966036843,54.427484327543404,7.0141103840142405,94.7,6.1,2672.0
-1.4773614343014898,54.7311130984104,7.1400372902703095,94.4,5.8,2608.0
-1.5955785865602499,54.4764522971861,7.09066674056291,93.5,6.0,2648.0
-1.56629551642934,54.32454821030171,7.15462308323074,93.6,6.2,2674.0
-1.74183633076303,54.6038262904269,6.96012855313882,86.5,5.9,1921.0
-1.73676512724074,54.6715383078152,7.00370313277205,86.8,5.8,2713.0
-1.45258556238469,54.472273148637896,7.063000393657959,94.5,6.0,2676.0
-1.6636360658745,54.8646469452613,7.15227570193619,93.9,5.6,2676.0
-1.4486959364513001,54.7794017446073,7.13566596858347,94.0,5.7,2655.0
